Malli;Numero;Kohteen osoite;Postinumero;Postitoimipaikka;Sijaintipaikan tyyppi;Sijaintipaikka;Aukioloaika;Aukioloaika (lis�tiedot);Koordinaatti LAT;Koordinaatti LON
EP;05468;ALEKSANTERINKATU 23;00100;HELSINKI;KAUPPA;SUOMALAINEN KIRJAKAUPPA / SIS�K�YT�V�;LIIKETILAN AUKIOLO;;60.168718;24.941095
T;40024;ALEKSANTERINKATU 30;00100;HELSINKI;PANKIN KONTTORI;NORDEA SENAATINTORI;ITSEPALVELUALUEEN AUKIOLO;;ma-su klo 06-22;60.168930;24.950720
O;05183;ALEKSANTERINKATU 52;00100;HELSINKI;TAVARATALO;STOCKMANN HERKKU;LIIKETILAN AUKIOLO;;60.167880;24.942500
O;05184;ALEKSANTERINKATU 52;00100;HELSINKI;TAVARATALO;STOCKMANN  / YHDYSK�YT�V�;LIIKETILAN AUKIOLO;;60.167820;24.942850
EP;05447;ALEKSANTERINKATU 52;00100;HELSINKI;TAVARATALO;STOCKMANN / 8. KERROS;LIIKETILAN AUKIOLO;;60.168430;24.941870
O;05175;ELIELINAUKIO 3;00100;HELSINKI;PANKIN KONTTORI;NORDEA RAUTATIEASEMA;LIIKETILAN AUKIOLO;;60.171370;24.940230
EP;05503;KAISANIEMENKATU 5;00100;HELSINKI;METROASEMA;METRO KAISANIEMI LIPPUHALLI;LIIKETILAN AUKIOLO;;60.171250;24.947390
EP;05504;KAISANIEMENKATU 5;00100;HELSINKI;METROASEMA;METRO KAISANIEMI LIPPUHALLI;LIIKETILAN AUKIOLO;;60.171250;24.947410
O;03715;KAIVOKATU 1;00100;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA;LIIKETILAN AUKIOLO;;60.171000;24.941670
O;04614;KAIVOKATU 1;00100;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA;LIIKETILAN AUKIOLO;;60.171050;24.941670
O;04615;KAIVOKATU 1;00100;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA;LIIKETILAN AUKIOLO;;60.171090;24.941670
T;40010;KAIVOKATU 6;00100;HELSINKI;PANKIN KONTTORI;DANSKE KAIVOKATU;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06 - 22;60.170270;24.942270
O;04862;KAMPINKUJA 1;00100;HELSINKI;METROASEMA;METROASEMA KAMPPI;24 H AUKIOLO;;60.168530;24.929880
O;04863;KAMPINKUJA 1;00100;HELSINKI;METROASEMA;METROASEMA KAMPPI;24 H AUKIOLO;;60.168500;24.929800
O;04490;MANNERHEIMINTIE 14;00100;HELSINKI;PANKIN KONTTORI;AKTIA KOLME SEPP��;24 H AUKIOLO;;60.168410;24.940238
EP;05455;MANNERHEIMINTIE 20;00100;HELSINKI;KAUPPAKESKUS;FORUM 2. KERROS;LIIKETILAN AUKIOLO;;60.169780;24.938400
EP;05497;MANNERHEIMINTIE 20;00100;HELSINKI;KAUPPAKESKUS;FORUM / YHDYSK�YT�V�;LIIKETILAN AUKIOLO;;60.169410;24.938240
T;40023;MANNERHEIMINTIE 20 A;00100;HELSINKI;KAUPPAKESKUS;FORUM 3. KERROS;LIIKETILAN AUKIOLO;;60.168850;24.938180
T;40013;MANNERHEIMINTIE 7;00100;HELSINKI;PANKIN KONTTORI;NORDEA KESKUSTA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-22;60.169650;24.939340
EP;05540;MANNERHEIMINTIE 9;00100;HELSINKI;KAUPPA;S-MARKET SOKOS;LIIKETILAN AUKIOLO;;60.170400;24.938240
O;04209;MIKONKATU 13;00100;HELSINKI;PANKIN KONTTORI;OP MIKONKATU;24 H AUKIOLO;;60.170580;24.945510
T;40011;MIKONKATU 13;00100;HELSINKI;PANKIN KONTTORI;OP MIKONKATU;ITSEPALVELUALUEEN AUKIOLO;ma - su klo 06 - 21;60.170400;24.945720
EP;05551;MIKONKATU 19;00100;HELSINKI;LIIKEKIINTEIST�;CASINO HELSINKI;LIIKETILAN AUKIOLO;;60.171710;24.946230
EP;05653;MIKONKATU 19;00100;HELSINKI;LIIKEKIINTEIST�;CASINO HELSINKI;LIIKETILAN AUKIOLO;;60.171880;24.945980
P;05926;MIKONKATU 7;00100;HELSINKI;KAUPPA;INTERSPORT MEGASTORE;24 H AUKIOLO;;60.169700;24.946020
O;04807;MUSEOKATU 40;00100;HELSINKI;PANKIN KONTTORI;NORDEA T��L�;24 H AUKIOLO;;60.175270;24.921470
O;04588;POSTIKATU 1;00100;HELSINKI;POSTI;POSTITALO;24 H AUKIOLO;;60.171027;24.938357
O;04891;SALOMONKATU 13;00100;HELSINKI;TAVARATALO;ANTTILA KAMPPI;24 H AUKIOLO;;60.169591;24.931967
O;04586;SIMONKATU 8;00100;HELSINKI;KAUPPAKESKUS;SIMONAUKIO;24 H AUKIOLO;;60.169023;24.936448
EP;05601;URHO KEKKOSEN KATU 1;00100;HELSINKI;KAUPPAKESKUS;KAMPPI / E - TASO;LIIKETILAN AUKIOLO;;60.168920;24.932580
EP;05602;URHO KEKKOSEN KATU 1;00100;HELSINKI;KAUPPAKESKUS;KAMPPI / E - TASO;LIIKETILAN AUKIOLO;;60.168870;24.932670
EP;05603;URHO KEKKOSEN KATU 1;00100;HELSINKI;KAUPPAKESKUS;KAMPPI / E - TASO;LIIKETILAN AUKIOLO;;60.168790;24.932760
O;04872;BULEVARDI 5;00120;HELSINKI;PANKIN KONTTORI;OP BULEVARDI;24 H AUKIOLO;;60.165190;24.939130
P;05799;HIETALAHDENRANTA 7;00120;HELSINKI;KAUPPA;S-MARKET BULEVARDI;LIIKETILAN AUKIOLO;;60.161058;24.929899
O;04654;ISO ROOBERTINKATU 20 - 22;00120;HELSINKI;KAUPPA;K-MARKET ROBERT;24 H AUKIOLO;;60.163167;24.941470
O;04764;KAPTEENINKATU 24;00140;HELSINKI;LIIKEKIINTEIST�;HUONEISTOKESKUS;24 H AUKIOLO;;60.158572;24.945957
O;04712;PER�MIEHENKATU 10;00150;HELSINKI;KAUPPA;ALEPA PER�MIEHENKATU;24 H AUKIOLO;;60.158717;24.934486
O;04858;KATAJANOKAN TERMINAALI;00160;HELSINKI;LAIVATERMINAALI;KATAJANOKAN TERMINAALI K-8;LIIKETILAN AUKIOLO;;60.163670;24.968110
O;05216;SATAMAKATU 3;00160;HELSINKI;KAUPPA;K-MARKET KATAJANOKKA;24 H AUKIOLO;;60.167530;24.962200
O;04323;LIISANKATU 18;00170;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.174050;24.953620
P;05914;IT�MERENKATU 14;00180;HELSINKI;METROASEMA;METROASEMA RUOHOLAHTI;LIIKETILAN AUKIOLO;;60.163210;24.914850
EP;05637;IT�MERENKATU 21;00180;HELSINKI;KAUPPAKESKUS;CITYMARKET RUOHOLAHTI;LIIKETILAN AUKIOLO;;60.163600;24.910560
T;40102;IT�MERENKATU 21;00180;HELSINKI;KAUPPAKESKUS;RUOHOLAHTI;LIIKETILAN AUKIOLO;;60.163570;24.910810
EP;05463;IT�MERENTORI 2;00180;HELSINKI;KAUPPA;S-MARKET RUOHOLAHTI;LIIKETILAN AUKIOLO;;60.163734;24.914050
P;05727;MELKONKATU 28 C;00210;HELSINKI;PANKIN KONTTORI;NORDEA LAUTTASAARI;24 H AUKIOLO;;60.153710;24.881360
EP;05573;TYYNENMERENKATU 8;00220;HELSINKI;LAIVATERMINAALI;L�NSITERMINAALI;LIIKETILAN AUKIOLO;;60.154440;24.921130
EP;05574;TYYNENMERENKATU 8;00220;HELSINKI;LAIVATERMINAALI;L�NSITERMINAALI;LIIKETILAN AUKIOLO;;60.154470;24.921160
P;05735;ESTERINPORTTI 2;00240;HELSINKI;KAUPPA;K-MARKET RATIS;24 H AUKIOLO;;60.197321;24.928256
P;05803;MANNERHEIMINTIE 76;00250;HELSINKI;KAUPPA;ALEPA KISAHALLI;24 H AUKIOLO;;60.184873;24.922186
P;05770;MANNERHEIMINTIE 58;00260;HELSINKI;KIOSKI;R-KIOSKI;24 H AUKIOLO;;60.181805;24.926814
O;04914;SANDELSINKATU 6;00260;HELSINKI;LIIKEKIINTEIST�;T��L�NTORI;24 H AUKIOLO;;60.178710;24.923240
O;04639;TUKHOLMANKATU 11;00270;HELSINKI;KIOSKI;R-KIOSKI MEILAHTI;24 H AUKIOLO;;60.191370;24.906945
EP;05448;HAARTMANINKATU 4;00290;HELSINKI;SAIRAALA;HYKS / AULA;LIIKETILAN AUKIOLO;;60.190770;24.907230
P;05781;MANNERHEIMINTIE 160;00300;HELSINKI;KAUPPA;K-MARKET FORTUNA;24 H AUKIOLO;;60.197500;24.900260
O;04877;MANNERHEIMINTIE 168;00300;HELSINKI;LIIKEKIINTEIST�;VVO ASUNTOMYYM�L�;24 H AUKIOLO;;60.202690;24.898880
O;04440;TUNNELITIE 5;00320;HELSINKI;KAUPPA;K-SUPERMARKET HAAGA;24 H AUKIOLO;;60.217136;24.899781
O;05020;MUNKKINIEMEN PUISTOTIE 14;00330;HELSINKI;PANKIN KONTTORI;NORDEA MUNKKINIEMI;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-01;60.197340;24.879300
EP;05506;RAUMANTIE 1;00350;HELSINKI;KAUPPAKESKUS;MUNKKIVUOREN OSTOSKESKUS;LIIKETILAN AUKIOLO;;60.205698;24.877714
O;04225;KONALANTIE 6;00370;HELSINKI;KAUPPA;VALINTATALO REIMARLA;24 H AUKIOLO;;60.226289;24.853904
O;04446;HIOMOTIE 26-30;00380;HELSINKI;PANKIN KONTTORI;NORDEA PIT�J�NM�KI;24 H AUKIOLO;;60.219995;24.872753
O;04078;TAKOMOTIE 33;00380;HELSINKI;KAUPPA;S-MARKET PIT�J�NM�KI;24 H AUKIOLO;;60.217511;24.869753
EP;05467;AJOMIEHENTIE 1;00390;HELSINKI;KAUPPAKESKUS;RISTIKKO;LIIKETILAN AUKIOLO;;60.238925;24.851237
P;05728;HANKASUONTIE 2;00390;HELSINKI;KAUPPA;S-MARKET KONALA;24 H AUKIOLO;;60.245310;24.845900
O;04827;N�YTTELIJ�NTIE 14;00400;HELSINKI;KAUPPA;ALEPA POHJOIS-HAAGA;24 H AUKIOLO;;60.229503;24.895261
EP;05597;PUUSTELLINKUJA 2;00410;HELSINKI;KAUPPA;ALEPA MALMINKARTANO;LIIKETILAN AUKIOLO;;60.247470;24.859090
O;04793;KANTELETTARENTIE 1;00420;HELSINKI;KAUPPAKESKUS;KAARI;24 H AUKIOLO;;60.236690;24.890420
EP;05502;KANTELETTARENTIE 1;00420;HELSINKI;KAUPPAKESKUS;KAARI / INFO;LIIKETILAN AUKIOLO;;60.237170;24.894780
T;40038;KANTELETTARENTIE 1;00420;HELSINKI;KAUPPAKESKUS;KAARI;LIIKETILAN AUKIOLO;;60.236860;24.892190
P;05740;SITRATORI 5;00420;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.239250;24.875340
O;04280;VANHAISTENTIE 1;00420;HELSINKI;KIOSKI;R-KIOSKI / KANNELM�EN OSTOSKESKUS;24 H AUKIOLO;;60.241828;24.885100
P;05797;HOPEATIE 2;00440;HELSINKI;KAUPPA;S-MARKET LASSILA;24 H AUKIOLO;;60.230080;24.882850
T;40008;KAUPINTIE 3;00440;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06 - 22;60.232860;24.886140
O;03721;HELSINGINKATU 1;00500;HELSINKI;LIIKEKIINTEIST�;HELSINGIN PANTTI;24 H AUKIOLO;;60.187810;24.960100
P;05730;HELSINGINKATU 1;00500;HELSINKI;METROASEMA;METROASEMA S�RN�INEN;24 H AUKIOLO;;60.187990;24.961570
O;04498;HELSINGINKATU 19;00500;HELSINKI;LIIKEKIINTEIST�;HURSTIN VALINTA;24 H AUKIOLO;;60.187140;24.953520
O;04368;H�MEENTIE 31;00500;HELSINKI;KAUPPA;MUSTI JA MIRRI;24 H AUKIOLO;;60.187802;24.963071
O;04066;ALEKSIS KIVEN KATU 11;00510;HELSINKI;KAUPPA;S-MARKET VALLILA;24 H AUKIOLO;;60.189810;24.952320
O;04868;KOTKANKATU 5;00510;HELSINKI;KAUPPA;ALEPA KOTKANKATU;24 H AUKIOLO;;60.191666;24.942561
O;04881;L�NTINEN BRAHENKATU 2;00510;HELSINKI;KIOSKI;R-KIOSKI URHEILUTALO;24 H AUKIOLO;;60.186823;24.948244
O;04131;TIVOLIKUJA 1;00510;HELSINKI;HUVIPUISTO;LINNANM�EN HUVIPUISTO/PORTTI;24 H AUKIOLO;;60.189840;24.939566
EP;05658;RATAPIHANTIE 6;00520;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA PASILA / ASEMAHALLI;LIIKETILAN AUKIOLO;;60.198490;24.934600
EP;05685;RATAPIHANTIE 6;00520;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA PASILA  / ASEMAHALLI;LIIKETILAN AUKIOLO;;60.198470;24.934610
EP;05686;RATAPIHANTIE 6;00520;HELSINKI;RAUTATIEASEMA;RAUTATIEASEMA PASILA / ASEMAHALLI;LIIKETILAN AUKIOLO;;60.198430;24.934610
O;04450;RAUTATIEL�ISENKATU 3;00520;HELSINKI;MESSUKESKUS;MESSUKESKUS;LIIKETILAN AUKIOLO;;60.202550;24.935760
EP;05568;RAUTATIEL�ISENKATU 3;00520;HELSINKI;MESSUKESKUS;MESSUKESKUS / GALLERIA;LIIKETILAN AUKIOLO;;60.203110;24.935630
O;04453;HAKANIEMENRANTA 1;00530;HELSINKI;PANKIN KONTTORI;OP HAKANIEMI;24 H AUKIOLO;;60.178020;24.950830
T;40017;HAKANIEMENRANTA 1;00530;HELSINKI;PANKIN KONTTORI;OP HAKANIEMI;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06 - 21;60.178130;24.951130
O;04885;SILTASAARENKATU 12;00530;HELSINKI;PANKIN KONTTORI;NORDEA HAKANIEMI;24 H AUKIOLO;;60.178810;24.949730
T;40154;SILTASAARENKATU 12;00530;HELSINKI;PANKIN KONTTORI;NORDEA HAKANIEMI;ITSEPALVELUALUEEN AUKIOLO;klo 6 - 22;60.178810;24.949730
EP;05687;SILTASAARENKATU 18-20;00530;HELSINKI;KAUPPA;S-MARKET YMPYR�TALO;LIIKETILAN AUKIOLO;;60.180210;24.949290
O;04461;SILTASAARENKATU 6;00530;HELSINKI;TAVARATALO;SOKOS HAKANIEMI;LIIKETILAN AUKIOLO;;60.177744;24.949774
O;04865;VIIDES LINJA 10;00530;HELSINKI;KIOSKI;R-KIOSKI 5 LINJA;24 H AUKIOLO;;60.183331;24.952853
O;04395;H�MEENTIE 92;00550;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.196160;24.962280
P;05798;M�KEL�NKATU 31;00550;HELSINKI;RAVINTOLA;KING KEBAB;24 H AUKIOLO;;60.194991;24.956648
EP;05625;H�MEENTIE 111;00560;HELSINKI;KAUPPAKESKUS;ARABIA;LIIKETILAN AUKIOLO;;60.202830;24.967940
EP;05626;H�MEENTIE 111;00560;HELSINKI;KAUPPAKESKUS;ARABIA;LIIKETILAN AUKIOLO;;60.202830;24.967940
EP;05585;KY�STI KALLION TIE 2;00570;HELSINKI;KAUPPA;ALEPA KULOSAARI;LIIKETILAN AUKIOLO;;60.186150;25.007660
O;04475;TY�PAJANKATU 2;00580;HELSINKI;LIIKEKIINTEIST�;LEIPOMO MESSI;24 H AUKIOLO;;60.190353;24.972246
P;05813;K�PYL�NTIE 8;00600;HELSINKI;KAUPPA;K-MARKET MASURKKA;24 H AUKIOLO;;60.216203;24.958658
O;04897;POHJOLANKATU 43;00610;HELSINKI;KAUPPA;ALEPA K�PYL�;24 H AUKIOLO;;60.216540;24.953470
P;05913;M�KITORPANTIE 1;00620;HELSINKI;KAUPPA;K-SUPERMARKET MUSTA PEKKA;24 H AUKIOLO;;60.222292;24.947312
P;05756;PAKILANTIE 8 A;00630;HELSINKI;KAUPPA;S-MARKET MAUNULA;24 H AUKIOLO;;60.230928;24.935065
P;05884;M�KITORPANTIE 37;00640;HELSINKI;KAUPPAKESKUS;OGELI;24 H AUKIOLO;;60.228757;24.962583
O;04895;PAKILANTIE 56;00660;HELSINKI;PANKIN KONTTORI;NORDEA PAKILA;24 H AUKIOLO;;60.238258;24.928291
O;04824;PAKILANTIE 95;00670;HELSINKI;KAUPPA;ALEPA PALOHEIN�;24 H AUKIOLO;;60.247680;24.922770
O;04079;TORPPARINM�ENTIE 1;00690;HELSINKI;KAUPPA;S-MARKET TORPPARINM�KI;24 H AUKIOLO;;60.257142;24.945435
EP;05461;ALA - MALMIN TORI 5;00700;HELSINKI;KAUPPAKESKUS;MALMIN NOVA 1. KERROS;LIIKETILAN AUKIOLO;;60.250911;25.012896
O;04874;MALMIN KAUPPATIE 18;00700;HELSINKI;PANKIN KONTTORI;NORDEA MALMI;24 H AUKIOLO;;60.252080;25.008880
P;05885;MALMIN KAUPPATIE 18;00700;HELSINKI;KAUPPAKESKUS;MALMINTORI;LIIKETILAN AUKIOLO;;60.252240;25.010140
T;40014;MALMIN KAUPPATIE 18;00700;HELSINKI;KAUPPAKESKUS;OP MALMI;ITSEPALVELUALUEEN AUKIOLO;;60.251980;25.010680
EP;05616;MALMINKAARI 17;00700;HELSINKI;TAVARATALO;K-CITYMARKET MALMI;LIIKETILAN AUKIOLO;;60.251977;25.013398
O;05146;MERIPIHKATIE 1;00710;HELSINKI;LIIKEKIINTEIST�;PIHLAJAM�EN LIIKETALO;24 H AUKIOLO;;60.233010;25.011740
O;04834;SALPAUSSEL�NTIE 11;00710;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.231200;25.000470
O;04436;S�TERINTIE 2;00720;HELSINKI;KAUPPA;ALEPA PUKINM�KI;24 H AUKIOLO;;60.243419;24.993912
O;04281;KOTINUMMENTIE 68;00730;HELSINKI;KAUPPA;ALEPA TAPANINKYL�;24 H AUKIOLO;;60.267320;25.014500
O;04311;JOUSIMIEHENTIE 3;00740;HELSINKI;KAUPPA;K-MARKET KAVALJEERI;24 H AUKIOLO;;60.274443;24.989286
O;04251;MAATULLINAUKIO 1;00750;HELSINKI;KAUPPA;K-MARKET TAPULI;24 H AUKIOLO;;60.275030;25.034451
O;04835;PUISTOLANTORI 1;00760;HELSINKI;KAUPPA;K-MARKET PUISTORI;24 H AUKIOLO;;60.274594;25.045209
P;05683;HUOKOTIE 1;00770;HELSINKI;KAUPPA;S-MARKET JAKOM�KI;24 H AUKIOLO;;60.261707;25.075437
O;04826;JAKOM�ENKUJA 4;00770;HELSINKI;KIOSKI;R-KIOSKI JAKOM�KI;24 H AUKIOLO;;60.261225;25.075265
O;04609;KIRKONKYL�NTIE 34;00780;HELSINKI;KAUPPA;S-MARKET MALMI;24 H AUKIOLO;;60.256630;24.998570
O;04657;LATOKARTANONKAARI 23;00790;HELSINKI;KAUPPA;VALINTATALO VIIKKI;24 H AUKIOLO;;60.233822;25.030959
O;04735;VIIKINTORI 3;00790;HELSINKI;TAVARATALO;PRISMA VIIKKI;24 H AUKIOLO;;60.227334;25.009453
O;04670;KETTUTIE 2;00800;HELSINKI;KAUPPA;ALEPA HERTTONIEMI;24 H AUKIOLO;;60.204710;25.034480
P;05902;HIIHTOM�ENTIE 17;00810;HELSINKI;METROASEMA;METROASEMA HERTTONIEMI;24 H AUKIOLO;;60.195179;25.030784
EP;05460;HIIHT�J�NTIE 2;00810;HELSINKI;KAUPPA;K-SUPERMARKET HERTTA;LIIKETILAN AUKIOLO;;60.194596;25.028114
P;05731;HITSAAJANKATU 16;00810;HELSINKI;KAUPPA;S-MARKET HERTTONIEMI;24 H AUKIOLO;;60.193135;25.031501
P;05801;INSIN��RINKATU 2;00810;HELSINKI;KAUPPAKESKUS;MEGAHERTSI;24 H AUKIOLO;;60.193702;25.034117
P;05732;ROIHUVUORENTIE 26;00820;HELSINKI;KAUPPA;ALEPA ROIHUVUORI;24 H AUKIOLO;;60.202158;25.059541
O;04887;KUVERN��RINTIE 8;00840;HELSINKI;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.180070;25.051330
O;03726;YLISKYL�NTIE 3;00840;HELSINKI;KAUPPA;K-SUPERMARKET LAAJASALO;24 H AUKIOLO;;60.180850;25.052553
P;05898;KORSHOLMANTIE 2;00900;HELSINKI;KAUPPA;ALEPA PUOTINHARJU;24 H AUKIOLO;;60.214320;25.083264
EP;05593;VANHANLINNANTIE  3;00900;HELSINKI;TAVARATALO;PRISMA IT�KESKUS;LIIKETILAN AUKIOLO;;60.213890;25.088010
O;04828;RUSTHOLLARINTIE 2;00910;HELSINKI;KIOSKI;R-KIOSKI PUOTILA;24 H AUKIOLO;;60.212556;25.096595
O;04540;KIVIPARINTIE 2;00920;HELSINKI;LIIKEKIINTEIST�;MYLLYPURON OSTOSKESKUS;24 H AUKIOLO;;60.224552;25.074529
O;04664;ASIAKKAANKATU 11;00930;HELSINKI;KAUPPAKESKUS;CITY4PETS LEMMIKKIKAUPUNKI;LIIKETILAN AUKIOLO;;60.209550;25.081290
EP;05650;IT�KATU 1-5;00930;HELSINKI;KAUPPAKESKUS;ITIS / ANTTILAN VIERESS�;LIIKETILAN AUKIOLO;;60.212030;25.083370
EP;05688;IT�KATU 1-5 C;00930;HELSINKI;TAVARATALO;STOCKMANN IT�KESKUS;LIIKETILAN AUKIOLO;;60.212820;25.085010
EP;05599;IT�KATU 3;00930;HELSINKI;KAUPPAKESKUS;ITIS / HALOSEN KULMA;LIIKETILAN AUKIOLO;;60.211000;25.082820
T;40009;IT�KATU 3;00930;HELSINKI;KAUPPAKESKUS;ITIS / POHJAKERROS, APTEEKKIA VASTAP��T�;LIIKETILAN AUKIOLO;;60.211510;25.083020
EP;05539;KAUPPAKARTANONKATU 3;00930;HELSINKI;TAVARATALO;K-CITYMARKET IT�KESKUS;LIIKETILAN AUKIOLO;;60.208920;25.085620
O;04893;TALLINNANAUKIO 1;00930;HELSINKI;PANKIN KONTTORI;DANSKE ITIS;24 H AUKIOLO;;60.209980;25.078500
O;03723;TURUNLINNANTIE 14;00930;HELSINKI;PANKIN KONTTORI;OP ITIS;24 H AUKIOLO;;60.210480;25.078400
P;05738;KEINULAUDANKUJA 4;00940;HELSINKI;KAUPPA;K-SUPERMARKET KONTUMARKET;24 H AUKIOLO;;60.236630;25.084200
P;05739;KEINULAUDANKUJA 4;00940;HELSINKI;KAUPPA;K-SUPERMARKET KONTUMARKET;24 H AUKIOLO;;60.236580;25.084260
O;04057;OSTOSTIE 4;00940;HELSINKI;POSTI;POSTI KONTULA;24 H AUKIOLO;;60.237960;25.086450
O;05158;VARTIOKYL�NTIE 3;00950;HELSINKI;KAUPPA;ALEPA VARTIOKYL�;24 H AUKIOLO;;60.218540;25.102857
P;05733;MUSTALAHDENTIE 2;00960;HELSINKI;KAUPPA;S-MARKET VUOSAARI;24 H AUKIOLO;;60.221710;25.140250
O;04449;OUNASVAARANTIE 9;00970;HELSINKI;METROASEMA;METROASEMA MELLUNM�KI;LIIKETILAN AUKIOLO;;60.238974;25.112239
EP;05473;MERI-RASTILANKUJA 2;00980;HELSINKI;KAUPPA;S-MARKET MERI-RASTILA;LIIKETILAN AUKIOLO;;60.203870;25.118432
O;04579;RAHTARINKATU 2;00980;HELSINKI;LIIKENNEPAIKKA;ABC VUOSAARI;24 H AUKIOLO;;60.224790;25.168160
EP;05449;VUOTIE 45;00980;HELSINKI;KAUPPAKESKUS;COLUMBUS / S-MARKET;LIIKETILAN AUKIOLO;;60.206960;25.145990
EP;05581;VUOTIE 45;00980;HELSINKI;KAUPPAKESKUS;COLUMBUS / CITYMARKET;LIIKETILAN AUKIOLO;;60.207960;25.145580
P;05900;VUOTIE 45;00980;HELSINKI;KAUPPAKESKUS;COLUMBUS;24 H AUKIOLO;;60.207100;25.146260
T;40052;VUOTIE 45;00980;HELSINKI;KAUPPAKESKUS;COLUMBUS / CITYMARKET;LIIKETILAN AUKIOLO;;60.207970;25.145950
P;05846;TERVEYSTIE 3;01150;S�DERKULLA;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.298810;25.327240
P;05794;KANNUSKUJA 2;01200;VANTAA;KAUPPA;S-MARKET HAKUNILA;24 H AUKIOLO;;60.280030;25.109290
P;05811;LAUKKARINNE 4;01200;VANTAA;LIIKEKIINTEIST�;LIIKETILA;24 H AUKIOLO;;60.278910;25.104300
O;04854;LAUKKARINNE 6;01200;VANTAA;LIIKEKIINTEIST�;HAKUNILAN APTEEKKI;24 H AUKIOLO;;60.278755;25.103924
O;05003;PORTTISUONTIE 18;01200;VANTAA;TAVARATALO;IKEA VANTAA;24 H AUKIOLO;;60.277728;25.083470
O;05211;L�HDEPUISTONTIE 20;01230;VANTAA;KAUPPA;K-MARKET KASTANJA;24 H AUKIOLO;;60.266610;25.099560
O;04463;IT�INEN VALKOISENL�HTEENT. 19;01260;VANTAA;KAUPPA;K-MARKET HONKATORI;24 H AUKIOLO;;60.297670;25.103410
P;05882;KUULAKUJA 5;01280;VANTAA;KAUPPA;ALEPA KUULAKUJA;24 H AUKIOLO;;60.244742;25.109739
T;40015;ASEMATIE 10;01300;VANTAA;PANKIN KONTTORI;NORDEA TIKKURILA;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-22;60.292960;25.041290
P;05810;ASEMATIE 2;01300;VANTAA;KAUPPAKESKUS;TIKKURI;LIIKETILAN AUKIOLO;;60.292080;25.042800
O;04997;KIELOTIE 11;01300;VANTAA;PANKIN KONTTORI;OP TIKKURILA;24 H AUKIOLO;;60.293150;25.037930
O;04655;KIELOTIE 29;01300;VANTAA;KAUPPA;K-MARKET KIELOTIE;24 H AUKIOLO;;60.300909;25.040231
EP;05476;PELTOLANTIE 1;01300;VANTAA;KAUPPA;K-SUPERMARKET YLIVETO;LIIKETILAN AUKIOLO;;60.293727;25.032057
EP;05456;RATATIE 11;01300;VANTAA;LIIKEKIINTEIST�;DIXI;LIIKETILAN AUKIOLO;;60.292110;25.043380
EP;05579;TIKKURAITTI 20;01300;VANTAA;TAVARATALO;PRISMA TIKKURILA;LIIKETILAN AUKIOLO;;60.293100;25.034130
EP;05580;TIKKURAITTI 20;01300;VANTAA;TAVARATALO;PRISMA TIKKURILA;LIIKETILAN AUKIOLO;;60.293090;25.034130
P;05886;LEINIKKITIE 20;01350;VANTAA;KIOSKI;R-KIOSKI SIMONKYL�;24 H AUKIOLO;;60.309880;25.031440
O;03741;KOIVUKYL�N PUISTOTIE 1;01360;VANTAA;KAUPPA;ALEPA KOIVUKYL�N PUISTOTIE;24 H AUKIOLO;;60.322834;25.061910
P;05828;NIINIKUJA 2;01360;VANTAA;KAUPPA;S-MARKET KOIVUKYL�;24 H AUKIOLO;;60.322773;25.055490
O;04803;KOIVUKYL�NV�YL� 66;01390;VANTAA;LIIKENNEPAIKKA;ABC ILOLA;24 H AUKIOLO;;60.324328;25.024241
O;05237;TUUSULANTIE 10;01390;VANTAA;HUOLTOASEMA;SHELL RUSKEASANTA;24 H AUKIOLO;;60.308171;24.999114
P;05901;OJALEHDONKUJA 1;01400;VANTAA;TAVARATALO;K-CITYMARKET KOIVUKYL�;24 H AUKIOLO;;60.324999;25.058150
O;04907;MAAKOTKANTIE 12;01450;VANTAA;PANKIN KONTTORI;NORDEA KORSO;24 H AUKIOLO;;60.350290;25.075390
O;04821;MERIKOTKANPOLKU 2;01450;VANTAA;PANKIN KONTTORI;OP KORSO;24 H AUKIOLO;;60.351000;25.076580
T;40018;MERIKOTKANPOLKU 2;01450;VANTAA;PANKIN KONTTORI;OP KORSO;ITSEPALVELUALUEEN AUKIOLO;ma-su klo 06-21;60.351020;25.076600
